台湾菜,大都会餐厅,大都会餐厅,0,高雄近郊,0.0,0.0,0.0
台湾菜,鸟语花香花园餐厅,鸟语花香花园餐厅,0,西子湾景区,0.0,0.0,0.0
台湾菜,旺来平价热炒,旺来平价热炒,0,左营车站,0.0,0.0,0.0
台湾菜,秉丰素食,秉丰素食,0,高雄近郊,0.0,0.0,0.0
台湾菜,前镇 火鸡肉饭,前镇 火鸡肉饭,0,梦时代商圈,0.0,0.0,0.0
台湾菜,大岗山高尔夫球场,大岗山高尔夫球场,0,高雄近郊,0.0,0.0,0.0
台湾菜,炒饭班炒饭专卖店,炒饭班炒饭专卖店,0,左营车站,0.0,0.0,0.0
台湾菜,开运烟燻猪脚,开运烟燻猪脚,0,苓雅区捷运沿线,0.0,0.0,0.0
台湾菜,天空之城机场咖啡休闲农场,天空之城机场咖啡休闲农场,0,高雄国际机场,0.0,0.0,0.0
台湾菜,爸爸妈妈私房菜,爸爸妈妈私房菜,0,左营车站,0.0,0.0,0.0
台湾菜,旗津道酒店,旗津道酒店,0,,0.0,0.0,0.0
台湾菜,美浓客家菜,美浓客家菜,0,高雄近郊,0.0,0.0,0.0
台湾菜,Viva La Pasta 小乐食义面坊,Viva La Pasta 小乐食义面坊,0,真爱码头,0.0,0.0,0.0
台湾菜,童话创意义式料理,童话创意义式料理(澄清店),0,高雄近郊,0.0,0.0,0.0
台湾菜,东坡鲜肉饭,东坡鲜肉饭,0,苓雅区捷运沿线,0.0,0.0,0.0
台湾菜,888燻茶鹅．卤味,888燻茶鹅．卤味,0,高雄火车站,0.0,0.0,0.0
台湾菜,俩伯羊肉专卖店,俩伯羊肉专卖店,0,高雄近郊,0.0,0.0,0.0
台湾菜,小林鸡肉饭,小林鸡肉饭,0,金狮湖,0.0,0.0,0.0
台湾菜,鲔鱼海产粥,鲔鱼海产粥,0,苓雅区捷运沿线,0.0,0.0,0.0
台湾菜,富民鸭肉店,富民鸭肉店,0,左营车站,0.0,0.0,0.0
台湾菜,小西门炖肉饭,小西门炖肉饭(瑞丰店),0,左营车站,0.0,0.0,0.0
台湾菜,基甸鸡汤,基甸鸡汤,0,中央公园/美丽岛,0.0,0.0,0.0
台湾菜,高雄福容大饭店-25楼尊荣景观餐厅,高雄福容大饭店-25楼尊荣景观餐厅,0,真爱码头,0.0,0.0,0.0
台湾菜,TAN & CIAO 大远百B1英国馆,TAN & CIAO 大远百B1英国馆,0,三多商圈,0.0,0.0,0.0
台湾菜,海角43号餐厅,海角43号餐厅,0,三多商圈,0.0,0.0,0.0
台湾菜,嘻游记,嘻游记(六合店),0,中央公园/美丽岛,0.0,0.0,0.0
台湾菜,查尔斯厨房 Les Charles,查尔斯厨房 Les Charles,0,中央公园/美丽岛,0.0,0.0,0.0
台湾菜,白宫家常菜,白宫家常菜,0,中央公园/美丽岛,0.0,0.0,0.0
台湾菜,古拉爵Café Grazie,古拉爵Café Grazie(梦时代店),0,梦时代商圈,0.0,0.0,0.0
台湾菜,港都风味食堂,港都风味食堂,0,真爱码头,0.0,0.0,0.0
台湾菜,黑川堂,黑川堂,0,梦时代商圈,0.0,0.0,0.0
台湾菜,角落mini nook,角落mini nook,0,三多商圈,0.0,0.0,0.0
台湾菜,炒饭班,炒饭班(吉林店),0,高雄火车站,0.0,0.0,0.0
台湾菜,"doR,手工义大利面","doR,手工义大利面",0,真爱码头,0.0,0.0,0.0
台湾菜,夏卡尔餐酒馆,夏卡尔餐酒馆,0,左营车站,0.0,0.0,0.0
台湾菜,海光眷村家常菜,海光眷村家常菜,0,左营车站,0.0,0.0,0.0
台湾菜,南丰鲁肉饭,南丰鲁肉饭(裕诚店),0,左营车站,0.0,0.0,0.0
