冰淇淋,Fassi 1880
意大利菜,Alle due fontanelle
意大利菜,Caffe Lembo
意大利菜,Dai tre amici
意大利菜,Binario Zero Caffe'
意大利菜,Gaetano Costa
意大利菜,L'Enoteca Antica di Via della Croce
意大利菜,Le Jardin de Russie
意大利菜,Ristorante caffe da Claudia
意大利菜,Ristorante Cannavota
意大利菜,Ambrosia
意大利菜,Bar
意大利菜,Habemus Pizza
意大利菜,Ristorante da Dino
意大利菜,L'Antica Fraschetta
意大利菜,Caffe dello Studente
意大利菜,La Piccola Irpinia
意大利菜,Rossini all'Hotel Quirinale
意大利菜,Apuleius
意大利菜,Vossia
意大利菜,Villa Lucrezia
意大利菜,L'Acino che Vola
意大利菜,Il Maggiolino Ristorante
意大利菜,La Mandrakata
意大利菜,Mithos Taverna dell'Allegria
意大利菜,Italia Di Gusto
意大利菜,Anti-Luzzi Bar Apericena
意大利菜,Circus Roofgarden
意大利菜,Florian's
意大利菜,Otello alla Concordia
意大利菜,Ristorante Pizzeria da Giuseppe
意大利菜,Guerrini dal 1958
意大利菜,Le Streghe
意大利菜,Il Palazzetto
意大利菜,Trattoria Angelo
意大利菜,Borgo Nuovo
意大利菜,Pastarito Pizzarito
意大利菜,Caffetteria Italia
意大利菜,Osteria Venerina
意大利菜,Antica Trattoria Tritone
意大利菜,Caffe Propaganda
意大利菜,Dolce Vita
意大利菜,IL Palchetto
意大利菜,Barcaccia
意大利菜,Da Augusto
意大利菜,Scannagrilli
意大利菜,Osteria Pizzeria Pasquino
意大利菜,Checchino Dal 1887
意大利菜,'Gusto-Osteria
意大利菜,Stuzziko
意大利菜,Sette
意大利菜,Trinita de Monti
意大利菜,Mc Queen Pub
意大利菜,George Byron Cafe
意大利菜,La Grotta Amatriciana
意大利菜,Pizza Roma
意大利菜,Osteria dell'amicizia
意大利菜,Pontevecchio
意大利菜,Trattoria-Pizzeria da Sergio
意大利菜,La Villetta
意大利菜,Velavevodetto ai Quiriti
意大利菜,Cafe Made
意大利菜,I Vascellari
意大利菜,Jasmine
意大利菜,Pizzeria San Marco
意大利菜,La Taverna degli Amici
意大利菜,I Lecci
意大利菜,Creme Caramel
意大利菜,Ciao Bella
意大利菜,Rinfresco a Domicilio Roma
意大利菜,A Casa di Alice Spaghetteria
意大利菜,Trattoria da Danilo
意大利菜,Open Colonna
意大利菜,Osteria della Suburra
意大利菜,Bottega del Caffe
意大利菜,Taverna del Corso
意大利菜,Queen 225
意大利菜,Camp's Cafe
意大利菜,Just for You
意大利菜,Ristorante La Luna
意大利菜,L'Economica
意大利菜,Cesar Pizza
意大利菜,Giggi Hostaria
意大利菜,La Gallina Bianca
意大利菜,Osteria da Luciano
意大利菜,Ristoro della Salute
意大利菜,Ristorante Alfredo Roma
意大利菜,Massenzio Ai Fori e Ristorante
意大利菜,Twins Bar
意大利菜,VyTA Santa Margherita
意大利菜,Bar Tre Scalini
意大利菜,Ristorante Pizzeria Imperiale
意大利菜,Da quei tre
意大利菜,Pierluigi
意大利菜,Ricomincio da Tre
意大利菜,La Fraschetta de Roma
意大利菜,Trattoria Scavolino
意大利菜,La Moderna - Testaccio
意大利菜,Angelina
意大利菜,La Torricella 2
意大利菜,Pizza E Natura
意大利菜,Orsetto SNC
意大利菜,Anema e Cozze
意大利菜,La gatta mangiona
意大利菜,Springfield
意大利菜,Ristorante Venerina
意大利菜,Elegance
意大利菜,Dar Filettaro a Santa Barbara
意大利菜,Adami
意大利菜,I Bistrot
意大利菜,Filetti di Baccala
意大利菜,I 4 Fiumi
意大利菜,La Matriciana
意大利菜,Beef only Beef Terrazza Flaminia
意大利菜,Vincenzo alla Lungaretta
意大利菜,Carlo Menta Talevi Luigi e Luciano
意大利菜,Mizzica 2
意大利菜,I Due Seconda
意大利菜,Ristorante Antica Taverna
意大利菜,Ai 3 Scalini
意大利菜,Dar Moschino
意大利菜,Gelato Ti Amo
意大利菜,Gastronomia Emilia
意大利菜,La Scalinata
意大利菜,Vicolo 88 Garden
意大利菜,Pasticceria Bompiani
意大利菜,Napoletano's
意大利菜,Da Fortuna Del Pantheon
意大利菜,Trattoria da Aldo
意大利菜,Ristorante - Pizzeria - Bar PONZI
意大利菜,Il Cuore di Napoli
意大利菜,Gelato Al Teatro
意大利菜,Palombi
意大利菜,Il Gianfornaio
意大利菜,Art Studio Cafe
意大利菜,Lupigiada
意大利菜,Panella
意大利菜,Feel Good
意大利菜,Vitti
意大利菜,Ciampini Bistrot
意大利菜,Piazza Caprera
意大利菜,Harry's Bar
意大利菜,Ristorante Birreria Lapsutinna
意大利菜,La Giulietta
意大利菜,La Botte Antica
意大利菜,Morrison's
意大利菜,Il Pasticciaccio
意大利菜,Il Leoncino
意大利菜,Bar Lepanto
意大利菜,Paulette
意大利菜,Taverna Pretoriana
意大利菜,Vudabar
意大利菜,Ristorante Rebasilico Casale del Fornaccio
意大利菜,Normale
意大利菜,Caffe Barberini
意大利菜,Gallo Matto
意大利菜,Trattoria Vaticano Giggi
意大利菜,Papa Baccus
意大利菜,Triclinium Restaurante
意大利菜,Striscia La Pizza
意大利菜,Dante's Bar
意大利菜,Wine bar Tamara
意大利菜,IL Ragno D'oro
意大利菜,L'Oliveto
意大利菜,Osteria Pizzeria Margherita
意大利菜,Ristorante Pizzeria Il Buchetto
意大利菜,Gusto 2004
意大利菜,Bibo Ristorante
意大利菜,Garbini 1842
意大利菜,La piazzetta
意大利菜,Trattoria Santi
意大利菜,Virgilio
意大利菜,Appia Cafe
意大利菜,Un Angolo di Vino
意大利菜,Antichi Sapori
意大利菜,osteria rouge
意大利菜,Ciao Restorante
意大利菜,Roma
意大利菜,Enoteca Vini Vizi e Virtu
意大利菜,Italian Heart
意大利菜,Dolceria DOF denominazione di origine familiare
意大利菜,Blu Bar
意大利菜,Il Panificio
意大利菜,Bacco & C.ucina
意大利菜,Cornetteria Caffetteria Gioia S.N.C
意大利菜,Villa Miani
意大利菜,BIS Take Away Italiano
意大利菜,Coffee Time Restaurant & Bar
意大利菜,Pizzaciro
意大利菜,Baffetto 2
意大利菜,Halal Vittorio Faith
意大利菜,Tie Break
意大利菜,Spanish Steps Rome
意大利菜,Giggetto al Portico d'Ottavia
意大利菜,Gelateria
意大利菜,Viziati Roma
意大利菜,Sugo S.R.L.
意大利菜,Trattoria Della Torre Argentina
意大利菜,Aureliano
意大利菜,Er Buco
意大利菜,La Piadineria
意大利菜,Caffe delle Arance
意大利菜,Papa Rex
意大利菜,Ristorante Pizzeria de Carlo
意大利菜,Da Fortunata
意大利菜,Osteria Del Cacciatore
意大利菜,Ristorante Il Condor
意大利菜,Ristorante 
意大利菜,Numbs Piazza Di Spagna
意大利菜,Da Guiseppe
意大利菜,Ristorante Mino
意大利菜,Il giardino del belvedere
意大利菜,Squisito Cook
意大利菜,Rigo
意大利菜,Cacio e Pepe
意大利菜,Il Baccanale Ristorante
意大利菜,45 Giri
意大利菜,A & G Lounge Bar
意大利菜,Zenzero
意大利菜,Bottega San Giovanni
意大利菜,Taberna de' Gracchi
意大利菜,A Fenestella
意大利菜,Pic Nic
意大利菜,Maxxi21
意大利菜,A Casa Mia
意大利菜,Sofio Cafe
意大利菜,Mondo Pizza
意大利菜,Taberna Piscinula
意大利菜,La Caravella
意大利菜,Trattoria al 19
意大利菜,La Tavernella
意大利菜,Pizza Smile
意大利菜,San Abanob Trattoria Pizzeria
意大利菜,Il Comparone
意大利菜,Osteria Romana
意大利菜,Express Cocktail Bar
意大利菜,Benedetto Ristorante
意大利菜,0-300 Cold and Grill
意大利菜,Osteria Al Ponticello
意大利菜,Trattoria
意大利菜,Teatro Cafe
意大利菜,Vecchio Borgo
意大利菜,Ristorante Tornasacco
意大利菜,Officine San Lorenzo
意大利菜,Ar Galleto
意大利菜,Caffetteria Boccaccio
意大利菜,Gea Artisan Ice Cream and Chocolate
意大利菜,Gallo Umbro
意大利菜,Bistrot la Dolce Vita & Ristorante Cadorin
意大利菜,Norcineria e Gastronomia CECCHINI
意大利菜,Trattoria e Pizzeria Micci Via Andrea Doria
意大利菜,Nautilus
意大利菜,Caffe' Capitolino
意大利菜,Mary Pizza
意大利菜,Santo Spirito Hospital Canteen
意大利菜,Hosteria Km 06
意大利菜,Sharazad Ristorante Pizzeria
意大利菜,Le Bouchon
意大利菜,Il Bersagliere
意大利菜,Panegirico Cafè
意大利菜,Il Postiglione
意大利菜,Bar Tabacchi
意大利菜,Il Piccolo Diavolo
意大利菜,da Loreto Trattoria
意大利菜,Autogrill
意大利菜,Babbo's Pizzeria
意大利菜,Caffetteria Gelateria Mariotti
意大利菜,Pub Italia
意大利菜,Da Gemma alla Lupa
意大利菜,La Barchetta dal 1924
意大利菜,Rik's Cafe Restaurant Roma
意大利菜,Terrace on the Sky
意大利菜,"Fratelli Crisciotti, Trattoria D'Azeglio"
意大利菜,Via Volturno Roma
意大利菜,Villa Marsili
意大利菜,Roma via germaccio
意大利菜,Pomodorino
意大利菜,Pizzeria Al Taglio Da Maria Rita
意大利菜,Taverna Marconi
意大利菜,Mad Restaurant
法国菜,La Terrasse Cuisine & Lounge
法国菜,Baja
法国菜,Charly's Sauciere
法国菜,Madame Baguette
法国菜,Pasticceria De Bellis
法国菜,L'Eau Vive
法国菜,Duecentogradi
法国菜,L'Allegro Bistro
法国菜,Bar Vaticano
法国菜,Sapori & Motori
法国菜,Dvlcis S.r.l.s.
法国菜,Bistrot Le Torri
法国菜,A cena da me
法国菜,Bistrot 23
墨西哥菜,La Cucaracha
墨西哥菜,Fiesta y Siesta
墨西哥菜,Bistro by Linda
墨西哥菜,Los Cabos Tex Mex Grill
墨西哥菜,El Pueblo
墨西哥菜,La Taqueria
墨西哥菜,Cucara Macara
墨西哥菜,Chattanooga Saloon
墨西哥菜,Mexican restaurant and sgheps lounge bar
墨西哥菜,Arriba Arriba
墨西哥菜,Charreada
墨西哥菜,Mexico all'Aventino
其他西餐,PuntoG - Gastronomia
其他西餐,Est! Est! Est! - Pizzeria Ricci
其他西餐,Nanà Vini e Cucina
其他西餐,Cottini
其他西餐,'Gusto
其他西餐,La Terrazza dell'Eden
其他西餐,Ristorante La Rosetta
其他西餐,Bull Steak
其他西餐,海洋航行者号主餐厅
其他西餐,Capperi!
其他西餐,Cybo
其他西餐,Bar Tritone Di Renzetti Rodolfo
其他西餐,Food Family
其他西餐,Mc Donald's Roma Giolitti
其他西餐,I San Pietrini
其他西餐,La Pergola
其他西餐,L'Olimpo
其他西餐,Osteria Il Vecchio e il Mare
其他西餐,Pizza & Dintorni
其他西餐,Massimo Riccioli Ristorante Bistrot
其他西餐,Dal Toscano
其他西餐,Pandora Club
其他西餐,Doney Restaurant
其他西餐,Zi Gaetana Pizzeria
其他西餐,Ristorante Vecchio Montano
其他西餐,Gusto Pinto
其他西餐,Galeassi
其他西餐,Toto alle Carozze
其他西餐,Aziende agricole seleziona regione Lazio
其他西餐,Officina Pizza E Cucina
其他西餐,Sbologna ristopub
其他西餐,Danel Tavernae
其他西餐,Laboratorio del pesce
